timestamp_utc	requests_processing	prompt_tps	predicted_tps	prompt_tokens_total	tokens_predicted_total
2026-08-24T09:49:23Z	12	3274.000	1114.800	4567813	637307
2026-08-24T09:49:28Z	11	6419.000	533.000	4599908	639972
2026-08-24T09:49:34Z	11	1105.333	302.333	4606540	641786
2026-08-24T09:49:39Z	12	2375.800	212.400	4618419	642848
2026-08-24T09:49:44Z	11	2112.200	535.200	4628980	645524
2026-08-24T09:49:49Z	12	902.000	325.600	4633490	647152
2026-08-24T09:49:54Z	11	2665.600	677.200	4646818	650538
2026-08-24T09:49:59Z	12	2127.800	227.400	4657457	651675
2026-08-24T09:50:04Z	11	1450.200	369.000	4664708	653520
2026-08-24T09:50:09Z	10	9627.600	1378.600	4712846	660413
2026-08-24T09:50:14Z	12	2135.600	1102.000	4723524	665923
2026-08-24T09:50:19Z	10	10422.400	355.200	4775636	667699
2026-08-24T09:50:24Z	11	231.200	71.600	4776792	668057
2026-08-24T09:50:29Z	11	0.000	0.000	4776792	668057
2026-08-24T09:50:34Z	10	10058.000	621.400	4827082	671164
2026-08-24T09:50:39Z	9	1322.800	153.000	4833696	671929
2026-08-24T09:50:44Z	10	322.600	2684.400	4835309	685351
2026-08-24T09:50:49Z	9	10634.600	215.400	4888482	686428
2026-08-24T09:50:54Z	10	8342.800	370.000	4930196	688278
2026-08-24T09:50:59Z	9	16641.200	141.800	5013402	688987
2026-08-24T09:51:05Z	8	3590.000	184.000	5034942	690091
2026-08-24T09:51:10Z	9	220.600	1608.600	5036045	698134
2026-08-24T09:51:15Z	7	11305.800	610.200	5092574	701185
2026-08-24T09:51:20Z	7	1688.800	69.800	5101018	701534
2026-08-24T09:51:25Z	7	2372.600	129.000	5112881	702179
2026-08-24T09:51:30Z	5	12557.400	348.000	5175668	703919
2026-08-24T09:51:35Z	6	0.000	0.000	5175668	703919
2026-08-24T09:51:40Z	5	8111.400	91.600	5216225	704377
2026-08-24T09:51:45Z	4	706.200	5393.400	5219756	731344
2026-08-24T09:51:50Z	5	1596.400	6.200	5227738	731375
2026-08-24T09:51:55Z	4	13913.800	327.200	5297307	733011
2026-08-24T09:52:00Z	5	0.000	0.000	5297307	733011
2026-08-24T09:52:05Z	4	8759.800	68.200	5341106	733352
2026-08-24T09:52:10Z	4	0.000	0.000	5341106	733352
2026-08-24T09:52:15Z	4	0.000	0.000	5341106	733352
2026-08-24T09:52:20Z	4	0.000	0.000	5341106	733352
2026-08-24T09:52:25Z	4	0.000	0.000	5341106	733352
2026-08-24T09:52:31Z	4	0.000	0.000	5341106	733352
2026-08-24T09:52:36Z	4	0.000	0.000	5341106	733352
2026-08-24T09:52:41Z	4	2812.200	2247.800	5355167	744591
2026-08-24T09:52:46Z	4	4702.200	1022.800	5378678	749705
2026-08-24T09:52:51Z	2	8312.800	275.400	5420242	751082
2026-08-24T09:52:56Z	2	2715.800	82.800	5433821	751496
2026-08-24T09:53:01Z	2	0.000	0.000	5433821	751496
2026-08-24T09:53:06Z	2	0.000	0.000	5433821	751496
2026-08-24T09:53:11Z	2	3316.200	3516.800	5450402	769080
2026-08-24T09:53:16Z	1	6638.200	85.600	5483593	769508
2026-08-24T09:53:21Z	2	0.000	0.000	5483593	769508
2026-08-24T09:53:26Z	1	6988.600	190.600	5518536	770461
2026-08-24T09:53:31Z	1	6638.200	73.200	5551727	770827
2026-08-24T09:53:36Z	2	0.000	0.000	5551727	770827
2026-08-24T09:53:41Z	2	7484.200	134.600	5589148	771500
2026-08-24T09:53:46Z	1	6638.200	93.800	5622339	771969
2026-08-24T09:53:51Z	2	0.000	0.000	5622339	771969
2026-08-24T09:53:56Z	2	7749.200	138.200	5661085	772660
2026-08-24T09:54:02Z	1	5807.667	80.333	5695931	773142
2026-08-24T09:54:07Z	1	0.000	0.000	5695931	773142
2026-08-24T09:54:12Z	1	0.000	0.000	5695931	773142
2026-08-24T09:54:17Z	1	0.000	0.000	5695931	773142
2026-08-24T09:54:22Z	1	0.000	0.000	5695931	773142
2026-08-24T09:54:27Z	1	0.000	0.000	5695931	773142
2026-08-24T09:54:32Z	1	0.000	0.000	5695931	773142
2026-08-24T09:54:37Z	1	0.000	0.000	5695931	773142
2026-08-24T09:54:42Z	1	0.000	0.000	5695931	773142
2026-08-24T09:54:47Z	1	0.000	0.000	5695931	773142
2026-08-24T09:54:52Z	1	0.000	0.000	5695931	773142
2026-08-24T09:54:57Z	1	0.000	0.000	5695931	773142
2026-08-24T09:55:02Z	1	0.000	0.000	5695931	773142
2026-08-24T09:55:07Z	1	0.000	0.000	5695931	773142
2026-08-24T09:55:12Z	1	0.000	0.000	5695931	773142
2026-08-24T09:55:17Z	1	0.000	0.000	5695931	773142
2026-08-24T09:55:22Z	1	0.000	0.000	5695931	773142
2026-08-24T09:55:27Z	1	0.000	0.000	5695931	773142
2026-08-24T09:55:32Z	1	0.000	0.000	5695931	773142
2026-08-24T09:55:38Z	1	0.000	0.000	5695931	773142
2026-08-24T09:55:43Z	1	0.000	0.000	5695931	773142
2026-08-24T09:55:48Z	1	0.000	0.000	5695931	773142
2026-08-24T09:55:53Z	1	0.000	0.000	5695931	773142
2026-08-24T09:55:58Z	1	0.000	0.000	5695931	773142
2026-08-24T09:56:03Z	0	1368.400	127.600	5702773	773780
